Rating,CocoaPercentage,Company,Origine spécifique du harirot
3.75,63%,A. Morin,Agua Grande
2.75,70%,A. Morin,Kpime
3,70%,A. Morin,Atsane
3.5,70%,A. Morin,Akata
3.5,70%,A. Morin,Quilla
2.75,70%,A. Morin,Carenero
3.5,70%,A. Morin,Cuba
3.5,70%,A. Morin,Sur del Lago
3.75,70%,A. Morin,Puerto Cabello
4,70%,A. Morin,Pablino
2.75,70%,A. Morin,Panama
3,70%,A. Morin,Madagascar
3.25,70%,A. Morin,Brazil
3.75,70%,A. Morin,Equateur
2.75,70%,A. Morin,Colombie
3,70%,A. Morin,Birmanie
3.25,70%,A. Morin,Papua New Guinea
4,70%,A. Morin,Chuao
3.25,70%,A. Morin,Piura
3.5,70%,A. Morin,Chanchamayo Province
4,63%,A. Morin,Chanchamayo Province
3.5,70%,A. Morin,Bolivia
3.75,63%,A. Morin,Peru
3.75,70%,Acalli,"Chulucanas, El Platanal"
3.75,70%,Acalli,"Tumbes, Norandino"
2.75,60%,Adi,Vanua Levu
3.25,80%,Adi,"Vanua Levu, Toto-A"
3.5,88%,Adi,Vanua Levu
3.5,72%,Adi,"Vanua Levu, Ami-Ami-CA"
2.75,55%,Aequare (Gianduja),"Los Rios, Quevedo, Arriba"
3,70%,Aequare (Gianduja),"Los Rios, Quevedo, Arriba"
3,70%,Ah Cacao,Tabasco
3.75,75%,Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area"
2.75,75%,Akesson's (Pralus),"Madagascar, Ambolikapiky P."
2.75,75%,Akesson's (Pralus),"Monte Alegre, D. Badero"
2.75,65%,Alain Ducasse,Trinite
2.75,75%,Alain Ducasse,Vietnam
3,75%,Alain Ducasse,Madagascar
2.5,75%,Alain Ducasse,Chuao
2.5,75%,Alain Ducasse,"Piura, Perou"
3.5,70%,Alexandre,"Winak Coop, Napo"
3.5,70%,Alexandre,"La Dalia, Matagalpa"
3.5,70%,Alexandre,Tien Giang
3.5,70%,Alexandre,"Makwale Village, Kyela"
2.75,60%,Altus aka Cao Artisan,Momotombo
3,60%,Altus aka Cao Artisan,Acopagro
2.5,60%,Altus aka Cao Artisan,CIAAB Coop
2.5,60%,Altus aka Cao Artisan,Villa Andina
2.75,60%,Altus aka Cao Artisan,Gruppo Salinas
2.5,60%,Altus aka Cao Artisan,Sur del Lago
3,60%,Altus aka Cao Artisan,Conacado
3.25,80%,Altus aka Cao Artisan,Bolivia
3,60%,Altus aka Cao Artisan,Bolivia
3.25,60%,Altus aka Cao Artisan,Peru
4,70%,Amano,Morobe
3.75,70%,Amano,Dos Rios
4,70%,Amano,Guayas
3,70%,Amano,Chuao
3,70%,Amano,Montanya
2.75,70%,Amano,"Bali, Jembrana"
3.5,70%,Amano,Madagascar
3,70%,Amano,Cuyagua
3.75,70%,Amano,Ocumare
3,70%,Amatller (Simon Coll),Ghana
2.75,70%,Amatller (Simon Coll),Ecuador
2.75,85%,Amatller (Simon Coll),Ecuador
3,85%,Amatller (Simon Coll),Ghana
3.25,72%,Amazona,"LamasdelChanka, San Martin, Oro Verde coop"
3.5,73%,Amazona,"Bellavista Gran Pajeten, San Martin"
3,64%,Ambrosia,Belize
3.25,66%,Ambrosia,Madagascar
3.25,75%,Ambrosia,Dominican Republic
3.25,63%,Ambrosia,Papua New Guinea
3.25,70%,Ambrosia,Venezuela
3.5,68%,Ambrosia,Peru
3.75,70%,Amedei,"Piura, Blanco de Criollo"
4,70%,Amedei,Porcelana
4,75%,Amedei,Nine
5,70%,Amedei,Chuao
3,70%,Amedei,Ecuador
3,70%,Amedei,Jamaica
3.5,70%,Amedei,Grenada
3.75,70%,Amedei,Venezuela
4,70%,Amedei,Madagascar
3.5,70%,Amedei,Trinidad
3.5,63%,Amedei,Toscano Black
5,70%,Amedei,Toscano Black
4,66%,Amedei,Toscano Black
3.25,75%,AMMA,Catongo
2.75,85%,AMMA,"Monte Alegre, 3 diff. plantations"
3.75,50%,AMMA,"Monte Alegre, 3 diff. plantations"
3.75,75%,AMMA,"Monte Alegre, 3 diff. plantations"
4,60%,AMMA,"Monte Alegre, 3 diff. plantations"
3,75%,Anahata,Elvesia
3.5,75%,Animas,Alto Beni
3,75%,Ara,Madagascar
2.5,72%,Ara,Chiapas
2.75,75%,Ara,Equateur
3,75%,Ara,Trincheras
3.5,70%,Arete,San Juan
3.75,70%,Arete,Kokoa Kamili
3.5,73%,Arete,Tien Giang
3.25,70%,Arete,Hacienda Victoria
3.25,70%,Arete,Costa Esmeraldas
3.5,70%,Arete,Lachua
3.75,70%,Arete,Rugoso
3.5,70%,Arete,"La Masica, FHIA"
4,70%,Arete,"Coto Brus, Terciopelo"
4,70%,Arete,Phantom
3.75,70%,Arete,Elvesia
3.25,70%,Arete,Matasawalevu
3.25,73%,Arete,Lam Dong
3.5,70%,Arete,Fazenda Camboa
3.5,68%,Arete,Nacional
3.75,70%,Arete,"Puerto Quito, heirloom"
3.5,70%,Arete,Oko Caribe
3.75,70%,Arete,Maya Mountain
4,70%,Arete,Chuno
2.75,75%,Arete,Fazenda Camboa
3.25,70%,Arete,Guatemala
3.5,75%,Arete,Camino Verde
3.25,72%,Artisan du Chocolat,"Trinidad, Heritage, Limited ed."
3.75,72%,Artisan du Chocolat,"Colombia, Casa Luker"
4,72%,Artisan du Chocolat,Haiti
2.75,72%,Artisan du Chocolat,Panama
1.75,100%,Artisan du Chocolat,Venezuela
3.75,72%,Artisan du Chocolat,Jamaica
3.25,72%,Artisan du Chocolat,Costa Rica
3.25,72%,Artisan du Chocolat,Ba Ria Vung Tau Province
3.5,72%,Artisan du Chocolat,Bali
2.5,75%,Artisan du Chocolat,"Ocumare, Venezuela"
2.75,72%,Artisan du Chocolat,Java
1.75,72%,Artisan du Chocolat,Brazil Rio Doce
3,80%,Artisan du Chocolat,Madagascar
3,75%,Artisan du Chocolat,Peru
3.25,72%,Artisan du Chocolat,Dominican Republic
3.75,72%,Artisan du Chocolat,Congo
2.75,72%,Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca"
3.75,68%,Askinosie,Mababa
3.75,72%,Askinosie,"Tenende, Uwate"
3.75,70%,Askinosie,Cortes
3.75,77%,Askinosie,Davao
2.5,75%,Askinosie,Xoconusco
3,70%,Askinosie,San Jose del Tambo
3.25,80%,Bahen & Co.,Houseblend
3.5,70%,Bahen & Co.,Papua New Guinea
3,70%,Bahen & Co.,Sambirano
2.5,70%,Bahen & Co.,Bahia
2.5,70%,Bahen & Co.,Houseblend
2.75,70%,Bakau,"Bambamarca, 2015"
3.5,70%,Bakau,"Huallabamba, 2015"
3.5,70%,Bar Au Chocolat,Bahia
4,70%,Bar Au Chocolat,Maranon Canyon
3.25,70%,Bar Au Chocolat,Duarte Province
3.5,70%,Bar Au Chocolat,Chiapas
3.75,70%,Bar Au Chocolat,Sambirano
2.75,80%,Baravelli's,single estate
3.5,65%,Batch,"Dominican Republic, Batch 3"
3.75,70%,Batch,Brazil
3.25,65%,Batch,Ecuador
3,73%,Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500"
3.25,72%,Beau Cacao,"Serian E., NW Borneo, b. #134/3800"
2.75,80%,Beehive,"Brazil, Batch 20316"
2.75,70%,Beehive,"Dominican Republic, Batch 31616"
2.75,70%,Beehive,"Ecuador, Batch 31516"
2.75,90%,Beehive,Ecuador
2.75,64%,Belcolade,Costa Rica
2.75,64%,Belcolade,Papua New Guinea
2.75,64%,Belcolade,Peru
3.5,71%,Belcolade,Ecuador
3.5,70%,Bellflower,"Kakao Kamili, Kilombero Valley"
3.25,70%,Bellflower,"Alto Beni, Palos Blanco"
3.5,70%,Bellflower,"Oko Caribe, Duarte P."
2.75,83%,Belyzium,"Belize south, low fermentation"
3,78%,Belyzium,Belize south
3.5,83%,Belyzium,Belize south
3.5,74%,Benoit Nihant,Baracoa
3.5,74%,Benoit Nihant,Chuao
3.5,74%,Benoit Nihant,Cuyagua Village
4,73%,Benoit Nihant,Rio Peripa H.
4,72%,Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C"
3.75,72%,Benoit Nihant,"Somia Plantation, Sambirano, 70hr C"
2.75,55%,Bernachon,Nature
3,64%,Beschle (Felchlin),Madagascar
3,88%,Beschle (Felchlin),Maracaibo
3.5,72%,Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas"
4,72%,Beschle (Felchlin),Ecuador
3.25,70%,Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru"
3.25,74%,Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1"
3.5,64%,Beschle (Felchlin),"Java, Grand Cru"
3.5,72%,Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2"
2.5,76%,Bisou,"Nicaragua, American style"
2.5,76%,Bisou,"San Andres, American style"
2.5,78%,Bisou,"San Andres, silk"
3.25,86%,Bisou,Belize
3.5,72%,Bittersweet Origins,Ghana
3.25,75%,Bittersweet Origins,"Bali, Singaraja"
3.75,70%,Bittersweet Origins,2009 Hapa Nibby
2.75,65%,Bittersweet Origins,"Bali, Singaraja"
3,70%,Bittersweet Origins,"Sambirano, 2009"
3,78%,Bittersweet Origins,"Ocumare, prototype"
3,75%,Bittersweet Origins,Puerto Plata
3.5,65%,Bittersweet Origins,Puerto Plata
3.25,75%,Bittersweet Origins,Sambirano
3.5,65%,Bittersweet Origins,Sambirano
3,71%,Bittersweet Origins,Sambirano
3.5,75%,Bittersweet Origins,Bocas del Toro
3.75,68%,Bittersweet Origins,Puerto Plata
3,70%,Bittersweet Origins,Ankasa
2.75,70%,Black Mountain,La Red
2.75,70%,Black Mountain,Carenero Superior
3,70%,Black Mountain,Matiguas
2.75,70%,Black River (A. Morin),Blue Mountain Region
3.5,82%,Blanxart,"Congo, Grand Cru"
2.75,72%,Blanxart,Organic Dark
3.5,82%,Blue Bandana,"Akesson's E., Sambirano V."
2.75,75%,Blue Bandana,Lachua
3.5,75%,Blue Bandana,Kokoa Kamili
3,75%,Blue Bandana,Zorzal Reserva
3.5,70%,Blue Bandana,Guatemala
3.75,70%,Blue Bandana,Madagascar
3.5,75%,Bonnat,Selva Maya
4,75%,Bonnat,Kaori
3.25,75%,Bonnat,"Los Colorados, Santo Domingo, Equateur"
3.75,65%,Bonnat,Surfin
3.5,75%,Bonnat,Maragnam
3.25,75%,Bonnat,Gabon
3.5,75%,Bonnat,Cuba
3.5,75%,Bonnat,"Cusco, Cacao Cusco"
3.5,75%,Bonnat,Piura Blanco
3.75,75%,Bonnat,Libanio
4,75%,Bonnat,Haiti
4,75%,Bonnat,"Madagascar, 100% criollo"
3.5,75%,Bonnat,Juliana
3.25,75%,Bonnat,Jamaique
3,75%,Bonnat,Ivory Coast
2.75,75%,Bonnat,"Porcelana, Apotequil"
3,75%,Bonnat,"Porcelana, Tabasco, Marfil de Blanco"
3,75%,Bonnat,"Xoconusco, cacao Real"
4,75%,Bonnat,"Porcelana, Venezuela"
2.5,75%,Bonnat,Equateur
3.75,75%,Bonnat,Trinite
4,75%,Bonnat,"Ocumare, Puerto Cabello"
4,75%,Bonnat,"Maracaibo, El Rosario"
4,75%,Bonnat,Madagascar
1.5,100%,Bonnat,One Hundred
3,75%,Bonnat,Ceylan
4,75%,Bonnat,Chuao
3.25,77%,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro"
1.5,100%,Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro"
2.75,70%,Bowler Man,Maya Mountain
2.75,70%,Bowler Man,Conacado
3.5,70%,Brasstown aka It's Chocolate,"Guasare, Zulia Prov."
3.75,70%,Brasstown aka It's Chocolate,"O'payo, Waslala"
3.75,68%,Brasstown aka It's Chocolate,Conacado
3.75,70%,Brasstown aka It's Chocolate,Maya Mountain
4,70%,Brasstown aka It's Chocolate,Chuao
3,72%,Brasstown aka It's Chocolate,Cooproagro
3.25,70%,Brasstown aka It's Chocolate,"Camino Verde, Guayas"
3.5,75%,Brasstown aka It's Chocolate,Ghana
3.5,85%,Brasstown aka It's Chocolate,"Chuao, Mantuano blend"
3,60%,Brazen,Elvesia P.
3.25,80%,Brazen,Elvesia P.
3.5,70%,Brazen,"Alta Verapaz, 2014"
2.75,80%,Brazen,Ambolikapiky P.
3.25,80%,Brazen,Maya Mountain
3.25,60%,Brazen,Ambolikapkly P.
3,70%,Breeze Mill,Jamaica
3,72%,Bright,Somia Plantation
3.5,70%,Bright,Marabel Farms
3.5,72%,Bright,"Camino Verde, Balao, Guayas"
2.75,68%,Bright,Gran Couva
3.25,70%,Britarev,Ecuador
2.75,68%,Bronx Grrl Chocolate,Dominican Republic
3.25,72%,Burnt Fork Bend,Trinidad
3.5,72%,Burnt Fork Bend,Mindo
3.25,72%,Burnt Fork Bend,Belize
3.25,72%,Burnt Fork Bend,Blend
2.5,60%,Burnt Fork Bend,"Ecuador, Bob Bar"
2.5,70%,Cacao Arabuco,Puerto Rico
2.5,75%,Cacao Atlanta,Tumbes
2.5,75%,Cacao Atlanta,"Dominican Republic, ""Love Bar"""
2.75,75%,Cacao Atlanta,Dominican Republic w/ nibs
2.25,75%,Cacao Atlanta,Patanemo
3.5,65%,Cacao Barry,Grand 'Anse
3,70%,Cacao Barry,Santo Domingo
2,75%,Cacao Barry,Tanzania
2,72%,Cacao Barry,Venezuela
3,66%,Cacao Barry,Mexico
3.5,77%,Cacao de Origen,Chuao
3.25,75%,Cacao de Origen,Rio Caribe
2.5,75%,Cacao de Origen,Agua Fria; Sucre region
3.25,74%,Cacao de Origen,Macuare; Miranda; Chloe formula
3.5,75%,Cacao de Origen,"Chuao, Aragua region"
3.75,70%,Cacao de Origen,"Chuao, Aragua region"
3.25,74%,Cacao de Origin,Hacienda la Trinidad
3.75,71%,Cacao Hunters,Macondo
3.75,74%,Cacao Hunters,Perla Negra
3.75,72%,Cacao Hunters,Arhuacos
3.5,64%,Cacao Hunters,Sierra Nevada
3.5,70%,Cacao Hunters,Tumaco
2.75,69%,Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna"
3.25,70%,Cacao Hunters,Arauca
3.5,70%,Cacao Market,"Jutiapa, lot 050916D"
3.75,72%,Cacao Prieto,"Criollo, Dominican Republic"
3,72%,Cacao Prieto,"Dominican Republicm, rustic"
3.75,66%,Cacao Prieto,Dominican Republic
3.25,65%,Cacao Prieto,"Dominican Republic, rustic"
3.5,70%,Cacao Sampaka,"Mahali, Kasai"
3.5,71%,Cacao Sampaka,Madagascar
3.75,71%,Cacao Sampaka,Ecuador
4,71%,Cacao Sampaka,Papua
3.25,71%,Cacao Sampaka,Grenada
3.5,71%,Cacao Sampaka,Venezuela
3.5,77%,Cacao Sampaka,Venezuela
4,70%,Cacao Sampaka,"Porcelana, Tabasco, La Joya"
4,70%,Cacao Sampaka,"Xoconusco, Chiapas"
3,70%,Cacao Store,Madagascar
3.25,70%,Cacao Store,Peru
3.5,70%,Cacao Store,Vietnam
3.25,70%,Cacaosuyo (Theobroma Inversiones),Piura
3.5,63%,Cacaoyere (Ecuatoriana),Amazonia
3.5,71%,Cacaoyere (Ecuatoriana),Esmeraldas
2.5,82%,Cacaoyere (Ecuatoriana),Bolivar
1.5,91%,Cacaoyere (Ecuatoriana),Pichincha
2.75,60%,Callebaut,Grenade
1,70%,Callebaut,Baking
2.5,75%,C-Amaro,Cuba
3,72%,C-Amaro,Dominican Republic
3.5,70%,C-Amaro,"Lago di Como, Blu"
3.5,100%,C-Amaro,Ecuador
3,80%,C-Amaro,Venezuela
2.25,78%,C-Amaro,Sao Tome
2.5,70%,C-Amaro,Trinidad
2.5,75%,Cao,Porcelana
2.75,73%,Cao,Tanzania
3,70%,Cao,"Porcelana, Batch 5163"
3,75%,Cao,Bolivia
3.25,70%,Cao,Brazil
2,77%,Caoni (Tulicorp),Esmeraldas
2.5,77%,Caoni (Tulicorp),Manabi
2.75,77%,Caoni (Tulicorp),Los Rios
3,55%,Caoni (Tulicorp),Manabi
3.25,55%,Caoni (Tulicorp),Los Rios
3.5,55%,Caoni (Tulicorp),Esmeraldas
3.5,70%,Captain Pembleton,"Saidor Estate, Madang P."
3.75,70%,Captain Pembleton,Kulili Estate
3.5,72%,Caribeans,"Antigua, Special Reserve"
3.25,72%,Caribeans,"Talamanca, Raul-Kekoldo community"
3.5,72%,Caribeans,Anselmo Paraiso Estate
3,72%,Caribeans,Costa Rica
2.75,80%,Caribeans,Costa Rica
3,65%,Carlotta Chocolat,Arauca
3.25,65%,Carlotta Chocolat,Tumaco
3.25,65%,Carlotta Chocolat,Cordoba
3.5,65%,Carlotta Chocolat,Huila
3.5,65%,Carlotta Chocolat,Cesar
4,72%,Castronovo,"Maya Mtn, Batch 454, Heirloom"
3.5,72%,Castronovo,"the lost city, gracias a dias, batch 362"
3.75,70%,Castronovo,"Duarte, Batch 360"
3.5,72%,Castronovo,"Piaroa, Amazonas, Batch 350"
3.5,72%,Castronovo,Sierra Nevada
3.5,76%,Castronovo,Arauca
2.75,70%,Castronovo,Elvesia P.
3,70%,Castronovo,Bolivia
3.5,73%,Castronovo,Conacado
2.5,70%,Castronovo,San Martin
3.25,70%,Castronovo,"Guaniamo, Amazonas"
3.25,72%,Castronovo,Nicaragua
2.75,70%,Castronovo,Tumbes
3,72%,Castronovo,Guaniamo
2.5,70%,Cello,Ecuador
2.75,70%,Cello,Peru
2.75,70%,Cello,Venezuela
3,70%,Cello,Bolivia
2.75,72%,Cemoi,Equateur
2.75,70%,Chaleur B,Uganda
3.25,70%,Charm School,Maya Mtn
2.75,55%,Chchukululu (Tulicorp),Arriba
3,75%,Chchukululu (Tulicorp),Los Rios
3.5,70%,Chequessett,la Amistad
3.5,70%,Chloe Chocolat,Blend No. 1
3.25,70%,Chocablog,Ecuador
3,75%,Choco Del Sol,Maya Mountain w/ nibs
3.25,82%,Choco Del Sol,Maya Mountain
2.75,70%,Choco Dong,"Mekong Delta, early 2014 Harvest"
3.5,70%,Choco Dong,"Tawau, Oct. 2015 Harvest"
2.5,65%,Chocolarder,Peru
2.75,65%,Chocolarder,Peru + nibs
2.5,80%,Chocolarder,Dominican Republic
3.75,70%,Chocola'te,Madagascar
3.75,68%,Chocola'te,Venezuela
2.5,90%,Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla"""
2.5,80%,Chocolate Alchemist-Philly,"Philly Blend, 5 plantations"
2.5,70%,Chocolate Con Amor,Wild Bolivian
2.75,70%,Chocolate Con Amor,Uganda
3,60%,Chocolate Con Amor,Dominican Republic
3,75%,Chocolate Con Amor,Dominican Republic
3,80%,Chocolate Con Amor,Ocumare
3.25,70%,Chocolate Con Amor,Ecuador
2.75,80%,Chocolate Con Amor,Nicaragua
2.75,74%,Chocolate Conspiracy,Peru
3.25,75%,Chocolate Makers,Tres Hombres
3.5,68%,Chocolate Makers,"Congo, Gorilla bar"
3.75,80%,Chocolate Makers,"Peru, Awagum bar"
3.75,69%,"Chocolate Tree, The",Maranon
3.75,80%,"Chocolate Tree, The",Carenero Superior
3.75,70%,"Chocolate Tree, The",Peru
2.5,82%,"Chocolate Tree, The",Ecuador
2.75,68%,"Chocolate Tree, The",Peru
3.25,72%,"Chocolate Tree, The",Madagascar
2.5,70%,Chocolats Privilege,Xoconusco
3,77%,ChocoReko,Patanemo
3.25,65%,Chocosol,"Chiapas, Lacandon Jungle, Oaxacom Mtn"
3.25,71%,Chocovic,Xoconusco
3.5,71%,Chocovic,Sambirano
3.25,60%,Chocovic,Kendari
3.25,75%,Chocovic,Tarakan
3.5,71%,Chocovic,Ocumare
2.5,71%,Chocovic,"Bolivar, Guaranda"
2.5,71%,Chocovic,Guyave
3,70%,Chocovic,Maragda
2.5,65%,Chocovivo,Tabasco
2.5,75%,Chocovivo,Tabasco
2.5,80%,Choklat,Ocumare
2.75,70%,Choklat,"Porcelana, Tabasco"
3,70%,Choklat,Brazilian
3,80%,Choklat,Brazilian
3,70%,Choklat,Ocumare
2.75,42%,Chokolat Elot (Girard),Guadeloupe
3.25,75%,Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn"
3.75,68%,Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4"
3,61%,Chuao Chocolatier,Choroni
2.75,77%,Chuao Chocolatier (Pralus),Chuao
3.75,73.5%,Claudio Corallo,Terreiro Velho P.
3,80%,Claudio Corallo,Terreiro Velho P. w/ sugar crystals
4,75%,Claudio Corallo,Terreiro Velho P.
1,100%,Claudio Corallo,Principe
3.5,73%,Cloudforest,"Camino Verde P., Balao, Guayas, 2014"
3,75%,Coleman & Davis,Sambirano
3.25,70%,Compania de Chocolate (Salgado),Sur del Lago
2.75,80%,Compania de Chocolate (Salgado),Carenero Superior
3.25,72%,Compania de Chocolate (Salgado),Moxos
3.75,70%,Compania de Chocolate (Salgado),Ocumare
2.75,88%,Compania de Chocolate (Salgado),Esmeraldas
3.5,76%,Condor,Camino Verde
2.75,78%,Confluence,"Tien Giang, 2015, batch 10-2-16"
3.25,65%,Coppeneur,"Ecuador, Puristique"
3.5,85%,Coppeneur,Ghana Puristique
1.5,100%,Coppeneur,Ecuador Puristique
3.75,72%,Coppeneur,Uba Budo
3.5,70%,Coppeneur,Madagascar
3.25,72%,Coppeneur,Grenada
3,70%,Coppeneur,Chuao
2.5,72%,Coppeneur,"Los Rios, H. Iara"
3,72%,Coppeneur,Trinidad
3.25,72%,Coppeneur,Jamaica
3.25,72%,Coppeneur,Ocumare 61
3,72%,Coppeneur,"Porcelana, Apotequil"
3.25,62%,Coppeneur,"Porcelana, Apotequil"
3.5,70%,Coppeneur,Chuao 100hr
3.75,70%,Coppeneur,Chuao 70hr
3,72%,Coppeneur,"Porcelana, Tabasco, Mexico"
3,72%,Coppeneur,"Porcelana, Venezuela"
3,72%,Coppeneur,"Sambirano, Menava P."
